,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
M1,20.43482,19.16129,19.5926,23.67103,23.78448,23.88738,23.98581,23.49981,23.47782,25.51906,25.36071,25.09369,29.45454,29.20128,29.07779,34.15672,33.84461,34.71733,32.11942,32.13852,33.04088,26.77349,26.71134,26.63187
M2,20.6663,19.82714,19.7907,23.52706,23.64927,23.69913,23.65933,23.39758,23.52964,25.35612,25.40207,25.11493,29.66524,28.84708,29.08708,32.60949,32.74713,32.63644,31.50164,31.81662,31.93023,26.86593,27.05907,26.85735
M3,20.15167,19.35997,19.95283,23.24648,23.31927,23.37319,23.55607,23.35215,23.3232,25.39173,25.30696,25.27634,29.34074,28.81624,28.84938,33.55228,33.81207,32.95821,31.75229,31.79617,31.96876,27.30164,27.20304,27.04488
M4,19.16957,18.61413,19.09107,22.91482,22.74384,23.00539,23.04822,22.94938,22.88632,25.14346,25.15502,24.85335,28.74802,28.41268,28.49791,32.31171,32.05448,32.53791,30.88473,31.28373,31.42736,26.53942,26.59849,26.41082
M5,19.51638,19.02606,19.46896,23.29795,23.36115,23.32391,23.15484,22.95585,23.09097,25.19613,25.20025,25.39264,29.20297,28.26197,28.28792,32.4576,33.41162,32.79627,31.0149,31.11095,31.65511,26.43562,26.2953,26.33391
M6,20.62305,20.05291,20.15814,23.82189,23.82288,23.65976,23.6347,23.51596,23.51512,25.46395,25.95248,25.97298,29.08868,28.89854,28.84563,32.77271,32.33561,31.99559,31.72334,31.12701,30.97533,27.06209,27.02914,27.07593
M7,21.6404,21.03556,21.00233,24.8776,24.20796,24.17338,24.10993,23.8688,24.00557,26.38502,26.62552,26.59411,29.67233,29.4649,29.2586,33.30927,34.21296,33.39603,32.41157,32.35531,32.78006,28.11462,27.70851,27.90708
M8,21.51475,20.82534,21.48142,25,25.1329,24.17416,24.32492,24.09745,23.88785,26.00404,26.22258,26.27324,30.25388,29.92465,29.88136,34.60219,35.04251,34.34367,32.89562,33.23384,33.42196,28.38823,28.2699,28.39028
M9,20.61676,19.87232,19.88734,24.04917,23.5938,23.09958,22.97027,22.9931,23.03374,24.71411,24.92174,24.90916,29.04105,29.00556,28.82293,32.45005,32.30407,32.45443,31.21617,31.48577,31.25779,26.20084,26.01808,25.67762
M10,20.65769,19.89318,20.00213,23.25177,23.65381,23.11861,22.85468,22.98245,23.07264,24.70039,24.89858,25.1044,28.79446,28.36654,28.92686,32.67985,31.56169,32.13833,31.5064,31.12519,31.77927,25.78887,25.74676,25.54256
M11,20.1484,19.45455,19.57828,23.16588,23.41085,22.80498,22.8178,22.46302,22.7372,24.70414,24.92504,24.78537,29.06705,28.31695,28.23011,33.214,33.602,32.87922,31.49145,31.48754,31.56143,25.73241,25.55479,25.52608